Tool Name,Category,Tool Type,Best For,Free Status,Free Limit / Practical Limit,Watermark on Free,Commercial Use on Free,Max Free Resolution,Max Free Duration,Inputs,Student Friendliness,Account Required,Privacy / Consent Risk,Local Install,Min VRAM,Recommended VRAM / GPU,Difficulty,Verification Status,Last Verified,Official / Primary URL,Source URLs,Notes for Students
Kaiber,Removed / Caution,paid_trial_video,Music/audio-reactive video,paid_trial,Paid trial reported; not a free tool,N/A,N/A,N/A,N/A,"Text, audio, image",N/A,Yes,Medium,No,,,N/A,Remove from free list,2026-05-17,https://kaiber.ai/,https://helpcenter.kaiber.ai/articles/6291249-kaiber-plans-what-you-need-to-know,Keep only in paid/trial appendix.
DaVinci Resolve,Removed / Caution,video_editor_not_generator,"Editing, color, VFX, audio",free_editor_not_generator,Free editor; not AI video generator,No,Yes for own work/assets,N/A,Project dependent,"Video, audio",Intermediate,No,Low,No,,,Intermediate,Reclassify,2026-05-17,https://www.blackmagicdesign.com/products/davinciresolve,https://www.blackmagicdesign.com/products/davinciresolve,"Excellent editor, but should not be in AI video generator list."
Overworld Waypoint-1.5,Removed / Caution,world_model_game_environment,Interactive 3D/world model context,not_student_video_generator,Not a general AI video generator,N/A,N/A,N/A,N/A,World/3D,Advanced,Yes,Medium,No,,,Advanced,Remove from main list,2026-05-17,https://over.world/,https://over.world/,Could appear in world-model appendix only.
Shutterstock AI Video,Removed / Caution,stock_licensing_video,Stock/licensed commercial content,not_free_core,Stock/licensing/credits model,N/A,Paid/licensed,N/A,N/A,"Text, stock",Easy,Yes,Medium,No,,,Beginner,Remove from free core,2026-05-17,https://www.shutterstock.com/ai-video-generator,https://www.shutterstock.com/ai-video-generator,Not a main free student resource.
Wireflow,Removed / Caution,unverified_video_tool,Unverified as AI video generator,unknown,Name conflict/unverified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unverified,2026-05-17,https://wireflow.co/,https://wireflow.co/,Remove unless a reliable current AI video product URL is confirmed.
Vidu Q3,Removed / Caution,duplicate_version,Duplicate/version label under Vidu,duplicate,Merge under Vidu,N/A,N/A,N/A,N/A,"Text, image",Easy,Yes,Medium,No,,,Beginner,Merge,2026-05-17,https://www.vidu.com/,https://www.vidu.com/,Do not keep as separate tool unless it is a distinct product.
Xelta AI,Removed / Caution,unverified_candidate,Unverified entry-level generator,unknown,Free claims unverified,Unknown,Unknown,Unknown,Unknown,Text,Easy,Yes,Medium,No,,,Beginner,Unverified,2026-05-17,https://xelta.ai/,https://xelta.ai/,Keep only if verified with current official pricing.
HappyHorse-1.0,Removed / Caution,open_washing_caution,"Possible benchmark/API model, not locally available",not_open_source_confirmed,Weights reportedly unreleased / coming soon,N/A,Unknown,N/A,N/A,"Text, image",Advanced,Yes,Medium,No,,,Advanced,Caution,2026-05-17,https://github.com/brooks376/Happy-Horse-1.0,https://github.com/brooks376/Happy-Horse-1.0 | https://wavespeed.ai/blog/posts/is-happyhorse-1-0-open-source-2026/,Use as an example of open-washing; not a local free model until weights exist.
Lumiere-Open,Removed / Caution,research_unverified,"Research reference, not verified as usable open model",unverified,Need source-primary weights/license before listing,N/A,Unknown,N/A,N/A,Text,Advanced,No,Medium,Unknown,,,Advanced,Unverified,2026-05-17,https://research.google/blog/lumiere-a-space-time-diffusion-model-for-video-generation/,https://research.google/blog/lumiere-a-space-time-diffusion-model-for-video-generation/,Do not list as usable open-source option unless primary weights/license are confirmed.
SVD-Next,Removed / Caution,naming_caution,Possibly misnamed Stable Video Diffusion variant,unverified_name,Use Stable Video Diffusion / SVD / SVD-XT instead unless verified,N/A,Unknown,N/A,N/A,Image,Intermediate,No,Low,Yes,10GB-ish for SVD,RTX 4070/3060+,Intermediate,Unverified naming,2026-05-17,https://huggingface.co/stabilityai,https://huggingface.co/stabilityai,Avoid uncertain model names in public guide.
